InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
g2-standard-48,48.0,192.0,,,,europe-west4,europe-west4-a,1.85143,0.77597
g2-standard-48,48.0,192.0,,,,us-east1,us-east1-b,1.7615,0.70483
g2-standard-8,8.0,32.0,,,,europe-west4,europe-west4-a,0.30857,0.12933
g2-standard-8,8.0,32.0,,,,us-east1,us-east1-b,0.29358,0.11747
g2-standard-96,96.0,384.0,,,,europe-west4,europe-west4-a,3.70286,1.55194
g2-standard-96,96.0,384.0,,,,us-east1,us-east1-b,3.52301,1.40966
m1-megamem-96,96.0,1433.599609375,,,,us-east1,us-east1-b,10.65216,2.29791
m1-ultramem-160,160.0,3844.0,,,,europe-west4,europe-west4-a,26.46594,5.50497
m1-ultramem-160,160.0,3844.0,,,,us-east1,us-east1-b,25.1724,5.43289
m1-ultramem-40,40.0,961.0,,,,europe-west4,europe-west4-a,6.61648,1.37624
m1-ultramem-40,40.0,961.0,,,,us-east1,us-east1-b,6.2931,1.35822
m1-ultramem-80,80.0,1922.0,,,,europe-west4,europe-west4-a,13.23297,2.75248
m1-ultramem-80,80.0,1922.0,,,,us-east1,us-east1-b,12.5862,2.71644
m3-megamem-128,128.0,1952.0,,,,europe-west4,europe-west4-a,15.14521,2.85155
m3-megamem-128,128.0,1952.0,,,,us-east1,us-east1-b,14.4096,5.76384
m3-megamem-64,64.0,976.0,,,,europe-west4,europe-west4-a,7.57261,1.42578
m3-megamem-64,64.0,976.0,,,,us-east1,us-east1-b,7.2048,2.88192
m3-ultramem-128,128.0,3904.0,,,,europe-west4,europe-west4-a,25.60862,4.82502
m3-ultramem-128,128.0,3904.0,,,,us-east1,us-east1-b,24.3648,9.74592
m3-ultramem-32,32.0,976.0,,,,europe-west4,europe-west4-a,6.40216,1.20626
m3-ultramem-32,32.0,976.0,,,,us-east1,us-east1-b,6.0912,2.43648
m3-ultramem-64,64.0,1952.0,,,,europe-west4,europe-west4-a,12.80431,2.41251
m3-ultramem-64,64.0,1952.0,,,,us-east1,us-east1-b,12.1824,4.87296
n1-340-48-tpu,48.0,340.0,,,,europe-west4,europe-west4-a,3.25626,0.57624
n1-356-96-tpu,96.0,340.0,,,,europe-west4,europe-west4-a,4.92675,0.87096
n1-highcpu-16,16.0,14.400390625,,,,europe-west4,europe-west4-a,0.624,0.11016
n1-highcpu-16,16.0,14.400390625,,,,us-east1,us-east1-b,0.56679,0.11933
n1-highcpu-2,2.0,1.7998046875,,,,europe-west4,europe-west4-a,0.078,0.01377
n1-highcpu-2,2.0,1.7998046875,,,,us-east1,us-east1-b,0.07085,0.01492
n1-highcpu-32,32.0,28.7998046875,,,,europe-west4,europe-west4-a,1.24799,0.22033
n1-highcpu-32,32.0,28.7998046875,,,,us-east1,us-east1-b,1.13358,0.23865
n1-highcpu-4,4.0,3.599609375,,,,europe-west4,europe-west4-a,0.156,0.02754
n1-highcpu-4,4.0,3.599609375,,,,us-east1,us-east1-b,0.1417,0.02983
n1-highcpu-64,64.0,57.599609375,,,,europe-west4,europe-west4-a,2.49597,0.44065
n1-highcpu-64,64.0,57.599609375,,,,us-east1,us-east1-b,2.26715,0.4773
n1-highcpu-8,8.0,7.2001953125,,,,europe-west4,europe-west4-a,0.312,0.05508
n1-highcpu-8,8.0,7.2001953125,,,,us-east1,us-east1-b,0.2834,0.05966
n1-highcpu-96,96.0,86.400390625,,,,europe-west4,europe-west4-a,3.74396,0.66098
n1-highcpu-96,96.0,86.400390625,,,,us-east1,us-east1-b,3.40073,0.71595
n1-highmem-16,16.0,104.0,,,,europe-west4,europe-west4-a,1.04189,0.18435
n1-highmem-16,16.0,104.0,,,,us-east1,us-east1-b,0.94642,0.19925
n1-highmem-2,2.0,13.0,,,,europe-west4,europe-west4-a,0.13024,0.02304
n1-highmem-2,2.0,13.0,,,,us-east1,us-east1-b,0.1183,0.02491
n1-highmem-32,32.0,208.0,,,,europe-west4,europe-west4-a,2.08378,0.3687
n1-highmem-32,32.0,208.0,,,,us-east1,us-east1-b,1.89285,0.3985
n1-highmem-4,4.0,26.0,,,,europe-west4,europe-west4-a,0.26047,0.04609
n1-highmem-4,4.0,26.0,,,,us-east1,us-east1-b,0.23661,0.04981
n1-highmem-64,64.0,416.0,,,,europe-west4,europe-west4-a,4.16755,0.73741
n1-highmem-64,64.0,416.0,,,,us-east1,us-east1-b,3.7857,0.79699
n1-highmem-8,8.0,52.0,,,,europe-west4,europe-west4-a,0.52094,0.09218
n1-highmem-8,8.0,52.0,,,,us-east1,us-east1-b,0.47321,0.09962
n1-highmem-96,96.0,624.0,,,,europe-west4,europe-west4-a,6.25133,1.10611
n1-highmem-96,96.0,624.0,,,,us-east1,us-east1-b,5.67854,1.19549
n1-megamem-96,96.0,1433.599609375,,,,us-east1,us-east1-b,9.10882,1.91765
n1-standard-1,1.0,3.75,,,,europe-west4,europe-west4-a,0.05229,0.00924
n1-standard-1,1.0,3.75,,,,us-east1,us-east1-b,0.0475,0.01
n1-standard-16,16.0,60.0,,,,europe-west4,europe-west4-a,0.83667,0.14792
n1-standard-16,16.0,60.0,,,,us-east1,us-east1-b,0.76,0.16
n1-standard-2,2.0,7.5,,,,europe-west4,europe-west4-a,0.10458,0.01849
n1-standard-2,2.0,7.5,,,,us-east1,us-east1-b,0.095,0.02
n1-standard-32,32.0,120.0,,,,europe-west4,europe-west4-a,1.67334,0.29584
n1-standard-32,32.0,120.0,,,,us-east1,us-east1-b,1.51999,0.32
n1-standard-4,4.0,15.0,,,,europe-west4,europe-west4-a,0.20917,0.03698
n1-standard-4,4.0,15.0,,,,us-east1,us-east1-b,0.19,0.04
