InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
cudo_A40x2,A40,2.0,12.0,48,1.05,stockholm-sweden-2,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
cudo_A40,A40,1.0,6.0,24,0.53,montreal-canada-4,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
cudo_A40,A40,1.0,6.0,24,0.53,stockholm-sweden-2,"{'Gpus': [{'Name': 'A40', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
cudo_A100_80G,A100_80G,1.0,12.0,48,1.83,kristiansand-norway-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
cudo_A100_80Gx4,A100_80G,4.0,48.0,192,7.32,kristiansand-norway-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
cudo_A100_80Gx2,A100_80G,2.0,24.0,96,3.66,kristiansand-norway-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
evergreen_RTX4090x8,RTX4090,8.0,48.0,256,3.2,casper-usa-1,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 262144}}], 'TotalGpuMemoryInMiB': 262144}",
massedcompute_L40x2,L40,2.0,50.0,384,1.98,desmoines-usa-1,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 393216}}], 'TotalGpuMemoryInMiB': 393216}",
massedcompute_L40x4,L40,4.0,100.0,768,3.96,desmoines-usa-1,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 786432}}], 'TotalGpuMemoryInMiB': 786432}",
massedcompute_L40,L40,1.0,26.0,192,0.99,desmoines-usa-1,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
excesssupply_RTX4090,RTX4090,1.0,12.0,70,0.6,oslo-norway-3,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 71680}}], 'TotalGpuMemoryInMiB': 71680}",
excesssupply_RTX4090x2,RTX4090,2.0,24.0,140,1.2,oslo-norway-3,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 143360}}], 'TotalGpuMemoryInMiB': 143360}",
excesssupply_RTX4090x4,RTX4090,4.0,60.0,352,2.4,oslo-norway-3,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 360448}}], 'TotalGpuMemoryInMiB': 360448}",
excesssupply_RTX4090x8,RTX4090,8.0,120.0,706,4.8,oslo-norway-3,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 722944}}], 'TotalGpuMemoryInMiB': 722944}",
hyperstack_H100_sxm5x8,H100,8.0,192.0,960,19.2,houston-usa-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 983040}}], 'TotalGpuMemoryInMiB': 983040}",
